id,quarter,value,log_value,index
NL,2023 Q4,1411454.473,14.160131271816143,125.62335373083619
NL,2024 Q1,1420996.672,14.166869065063828,126.4726358460426
NL,2024 Q2,1421113.707,14.166951422878592,126.48305228489001
NL,2024 Q3,1497661.731,14.21941560380787,133.29603823682766
NL,2024 Q4,1377375.316,14.135690301211959,122.5902144574452
NL,2025 Q1,1376066.681,14.134739756330347,122.47374232132299
SA,2019 Q4,44958.677,10.713499057978032,100
SA,2020 Q3,45718.621,10.730260955599102,101.6903166434368
SA,2020 Q4,46332,10.743588146052236,103.05463392528209
SA,2021 Q2,48486.175,10.789033984744268,107.84608942118113
SA,2021 Q3,47506.7345,10.768626758920416,105.6675544522807
SA,2021 Q4,60084.975,11.00351508926809,133.6448912853908
SA,2022 Q2,66425.828,11.103841235736624,147.7486270336647
SA,2022 Q3,58017.768500000006,10.968504596060196,129.04687675751669
SA,2022 Q4,53710.242,10.891358988568,119.46579744773183
SA,2023 Q2,63761.409,11.062903411714283,141.82225379986158
SA,2023 Q3,65084.358,11.083439522827943,144.76484261314005
SA,2023 Q4,73491.851,11.204929808306012,163.46533284331295
SA,2024 Q2,89723.775,11.404491063094522,199.5694290559306
SA,2024 Q3,91712.412,11.42641300350155,203.99268421532952
SA,2024 Q4,109507.65,11.603749688812085,243.5740046354122
SA,2025 Q2,141423.743,11.859515932068621,314.56384492808803
SG,2016 Q3,236859.298,12.375221564495023,86.87337600890241
SG,2016 Q4,220648.598,12.30432666072328,80.92774394649753
SG,2017 Q2,231024.408,12.35027864625972,84.73330130117199
SG,2017 Q3,237887.997,12.379555241045948,87.25067407480726
SG,2019 Q4,272648.893,12.515940140195589,100
SG,2020 Q3,285144.58999999997,12.560751663934075,104.58307270662566
SG,2020 Q4,300317.391,12.612595164382494,110.14803240004353
SG,2021 Q2,313316.784,12.654970047161932,114.91584673332967
SG,2021 Q3,306234.1945,12.632105429713324,112.31815069206975
SG,2021 Q4,309924.384,12.644083624126733,113.6716091489871
SG,2022 Q2,300878.867,12.614463027516283,110.35396611714835
SG,2022 Q3,301633.32849999995,12.616967414647245,110.63068152636878
SG,2022 Q4,302622.783,12.620242368315136,110.99358580560971
SG,2023 Q2,301923.352,12.617928462819497,110.73705404701572
SG,2023 Q3,301729.7535,12.61728703977413,110.66604752361859
SG,2023 Q4,303662.449,12.62367199834471,111.37490626085177
SG,2024 Q2,299402.069,12.60954266143143,109.81231785158946
SG,2024 Q3,302749.6635,12.620661549936603,111.04012202976376
SG,2024 Q4,298395.039,12.60617352183842,109.44296736975932
